cat кот
dog собака
house дом
book книга
water вода
sun солнце
moon луна
star звезда
tree дерево
flower цветок
table стол
chair стул
door дверь
window окно
key ключ
pen ручка
paper бумага
computer компьютер
phone телефон
car машина
train поезд
plane самолет
ship корабль
road дорога
street улица
city город
country страна
world мир
time время
day день
night ночь
week неделя
month месяц
year год
people люди
family семья
friend друг
love любовь
life жизнь
work работа
money деньги
food еда
bread хлеб
milk молоко
egg яйцо
meat мясо
fruit фрукт
apple яблоко
banana банан
orange апельсин
tea чай
coffee кофе
sugar сахар
salt соль
school школа
student студент
teacher учитель
lesson урок
word слово
language язык
english английский
russian русский
music музыка
song песня
art искусство
film фильм
game игра
sport спорт
ball мяч
team команда
player игрок
water вода
fire огонь
earth земля
air воздух
light свет
dark темнота
color цвет
red красный
blue синий
green зеленый
yellow желтый
black черный
white белый
big большой
small маленький
good хороший
bad плохой
fast быстрый
slow медленный
hot горячий
cold холодный
happy счастливый
sad грустный
new новый
old старый
young молодой
beautiful красивый
ugly уродливый
rich богатый
poor бедный
strong сильный
weak слабый
